Episode,Score,Record,Total Score,Mean Score,Epsilon,Loss
1,1,1,1,1.0,80,
2,0,1,1,0.5,79,
3,0,1,1,0.3333333333333333,78,
4,0,1,1,0.25,77,
5,0,1,1,0.2,76,
6,1,1,2,0.3333333333333333,75,
7,0,1,2,0.2857142857142857,74,
8,0,1,2,0.25,73,
9,0,1,2,0.2222222222222222,72,
10,1,1,3,0.3,71,
11,0,1,3,0.2727272727272727,70,
12,0,1,3,0.25,69,
13,0,1,3,0.23076923076923078,68,
14,1,1,4,0.2857142857142857,67,
15,0,1,4,0.26666666666666666,66,
16,0,1,4,0.25,65,
17,1,1,5,0.29411764705882354,64,
18,0,1,5,0.2777777777777778,63,
19,1,1,6,0.3157894736842105,62,
20,0,1,6,0.3,61,
21,1,1,7,0.3333333333333333,60,
22,0,1,7,0.3181818181818182,59,
23,1,1,8,0.34782608695652173,58,
24,0,1,8,0.3333333333333333,57,
25,0,1,8,0.32,56,
26,0,1,8,0.3076923076923077,55,
27,0,1,8,0.2962962962962963,54,
28,0,1,8,0.2857142857142857,53,
29,1,1,9,0.3103448275862069,52,
30,1,1,10,0.3333333333333333,51,
31,0,1,10,0.3225806451612903,50,
32,1,1,11,0.34375,49,
33,0,1,11,0.3333333333333333,48,
34,1,1,12,0.35294117647058826,47,
35,1,1,13,0.37142857142857144,46,
36,0,1,13,0.3611111111111111,45,
37,0,1,13,0.35135135135135137,44,
38,1,1,14,0.3684210526315789,43,
39,1,1,15,0.38461538461538464,42,
40,3,3,18,0.45,41,
41,1,3,19,0.4634146341463415,40,
42,0,3,19,0.4523809523809524,39,
43,1,3,20,0.46511627906976744,38,
44,0,3,20,0.45454545454545453,37,
45,0,3,20,0.4444444444444444,36,
46,1,3,21,0.45652173913043476,35,
47,1,3,22,0.46808510638297873,34,
48,0,3,22,0.4583333333333333,33,
49,1,3,23,0.46938775510204084,32,
50,1,3,24,0.48,31,
51,1,3,25,0.49019607843137253,30,
52,0,3,25,0.4807692307692308,29,
53,2,3,27,0.5094339622641509,28,
54,0,3,27,0.5,27,
55,0,3,27,0.4909090909090909,26,
56,0,3,27,0.48214285714285715,25,
57,0,3,27,0.47368421052631576,24,
58,1,3,28,0.4827586206896552,23,
59,2,3,30,0.5084745762711864,22,
60,1,3,31,0.5166666666666667,21,
61,1,3,32,0.5245901639344263,20,
62,2,3,34,0.5483870967741935,19,
63,2,3,36,0.5714285714285714,18,
64,3,3,39,0.609375,17,
65,0,3,39,0.6,16,
66,9,9,48,0.7272727272727273,15,
67,4,9,52,0.7761194029850746,14,
68,5,9,57,0.8382352941176471,13,
69,7,9,64,0.927536231884058,12,
70,6,9,70,1.0,11,
71,8,9,78,1.0985915492957747,10,
72,13,13,91,1.2638888888888888,9,
73,5,13,96,1.3150684931506849,8,
74,4,13,100,1.3513513513513513,7,
75,5,13,105,1.4,6,
76,7,13,112,1.4736842105263157,5,
77,2,13,114,1.4805194805194806,4,
78,0,13,114,1.4615384615384615,3,
79,0,13,114,1.4430379746835442,2,
80,6,13,120,1.5,1,
81,0,13,120,1.4814814814814814,0,
82,3,13,123,1.5,-1,
83,10,13,133,1.6024096385542168,-2,
84,31,31,164,1.9523809523809523,-3,
85,16,31,180,2.1176470588235294,-4,
86,19,31,199,2.313953488372093,-5,
87,27,31,226,2.5977011494252875,-6,
88,45,45,271,3.0795454545454546,-7,
89,40,45,311,3.49438202247191,-8,
90,27,45,338,3.7555555555555555,-9,
91,20,45,358,3.934065934065934,-10,
92,41,45,399,4.336956521739131,-11,
93,29,45,428,4.602150537634409,-12,
94,8,45,436,4.638297872340425,-13,
95,16,45,452,4.757894736842105,-14,
96,40,45,492,5.125,-15,
97,38,45,530,5.463917525773196,-16,
98,43,45,573,5.846938775510204,-17,
99,54,54,627,6.333333333333333,-18,
100,20,54,647,6.47,-19,
101,44,54,691,6.841584158415841,-20,
102,44,54,735,7.205882352941177,-21,
103,54,54,789,7.660194174757281,-22,
104,44,54,833,8.009615384615385,-23,
105,45,54,878,8.361904761904762,-24,
106,45,54,923,8.70754716981132,-25,
107,24,54,947,8.850467289719626,-26,
108,26,54,973,9.00925925925926,-27,
109,27,54,1000,9.174311926605505,-28,
110,25,54,1025,9.318181818181818,-29,
111,51,54,1076,9.693693693693694,-30,
112,48,54,1124,10.035714285714286,-31,
113,32,54,1156,10.230088495575222,-32,
114,39,54,1195,10.482456140350877,-33,
115,31,54,1226,10.660869565217391,-34,
116,46,54,1272,10.96551724137931,-35,
117,49,54,1321,11.290598290598291,-36,
118,48,54,1369,11.601694915254237,-37,
119,23,54,1392,11.697478991596638,-38,
120,24,54,1416,11.8,-39,
121,39,54,1455,12.024793388429751,-40,
122,26,54,1481,12.139344262295081,-41,
123,53,54,1534,12.471544715447154,-42,
124,26,54,1560,12.580645161290322,-43,
125,45,54,1605,12.84,-44,
126,39,54,1644,13.047619047619047,-45,
127,43,54,1687,13.283464566929133,-46,
128,23,54,1710,13.359375,-47,
129,24,54,1734,13.44186046511628,-48,
130,19,54,1753,13.484615384615385,-49,
131,29,54,1782,13.603053435114504,-50,
132,47,54,1829,13.856060606060606,-51,
133,40,54,1869,14.052631578947368,-52,
134,46,54,1915,14.291044776119403,-53,
135,26,54,1941,14.377777777777778,-54,
136,34,54,1975,14.522058823529411,-55,
137,41,54,2016,14.715328467153284,-56,
138,69,69,2085,15.108695652173912,-57,
139,26,69,2111,15.18705035971223,-58,
140,29,69,2140,15.285714285714286,-59,
141,28,69,2168,15.375886524822695,-60,
142,26,69,2194,15.450704225352112,-61,
143,19,69,2213,15.475524475524475,-62,
144,27,69,2240,15.555555555555555,-63,
145,42,69,2282,15.73793103448276,-64,
146,20,69,2302,15.767123287671232,-65,
147,26,69,2328,15.83673469387755,-66,
148,36,69,2364,15.972972972972974,-67,
149,21,69,2385,16.006711409395972,-68,
150,15,69,2400,16.0,-69,
151,48,69,2448,16.211920529801326,-70,
152,36,69,2484,16.342105263157894,-71,
153,38,69,2522,16.483660130718953,-72,
154,47,69,2569,16.681818181818183,-73,
155,18,69,2587,16.690322580645162,-74,
156,43,69,2630,16.858974358974358,-75,
157,38,69,2668,16.993630573248407,-76,
158,15,69,2683,16.981012658227847,-77,
159,19,69,2702,16.9937106918239,-78,
160,33,69,2735,17.09375,-79,
161,47,69,2782,17.279503105590063,-80,
162,24,69,2806,17.320987654320987,-81,
163,5,69,2811,17.245398773006134,-82,
164,35,69,2846,17.353658536585368,-83,
165,30,69,2876,17.43030303030303,-84,
166,19,69,2895,17.43975903614458,-85,
167,58,69,2953,17.682634730538922,-86,
168,27,69,2980,17.738095238095237,-87,
169,49,69,3029,17.923076923076923,-88,
170,19,69,3048,17.929411764705883,-89,
171,18,69,3066,17.92982456140351,-90,
172,25,69,3091,17.97093023255814,-91,
173,19,69,3110,17.976878612716764,-92,
174,38,69,3148,18.091954022988507,-93,
175,54,69,3202,18.297142857142855,-94,
176,43,69,3245,18.4375,-95,
177,20,69,3265,18.44632768361582,-96,
178,22,69,3287,18.46629213483146,-97,
179,21,69,3308,18.480446927374302,-98,
180,15,69,3323,18.461111111111112,-99,
181,54,69,3377,18.65745856353591,-100,
182,26,69,3403,18.697802197802197,-101,
183,35,69,3438,18.78688524590164,-102,
184,47,69,3485,18.940217391304348,-103,
185,34,69,3519,19.021621621621623,-104,
186,55,69,3574,19.21505376344086,-105,
187,36,69,3610,19.3048128342246,-106,
188,22,69,3632,19.319148936170212,-107,
189,38,69,3670,19.417989417989418,-108,
190,21,69,3691,19.426315789473684,-109,
191,14,69,3705,19.397905759162303,-110,
192,69,69,3774,19.65625,-111,
193,34,69,3808,19.730569948186528,-112,
194,34,69,3842,19.804123711340207,-113,
195,15,69,3857,19.77948717948718,-114,
196,21,69,3878,19.785714285714285,-115,
197,45,69,3923,19.913705583756347,-116,
198,21,69,3944,19.91919191919192,-117,
199,17,69,3961,19.90452261306533,-118,
200,27,69,3988,19.94,-119,
201,43,69,4031,20.054726368159205,-120,
202,34,69,4065,20.123762376237625,-121,
203,43,69,4108,20.236453201970445,-122,
204,35,69,4143,20.308823529411764,-123,
205,31,69,4174,20.360975609756096,-124,
206,25,69,4199,20.383495145631066,-125,
207,30,69,4229,20.429951690821255,-126,
208,11,69,4240,20.384615384615383,-127,
209,25,69,4265,20.406698564593302,-128,
210,17,69,4282,20.39047619047619,-129,
211,26,69,4308,20.417061611374407,-130,
212,35,69,4343,20.485849056603772,-131,
213,29,69,4372,20.525821596244132,-132,
214,28,69,4400,20.560747663551403,-133,
215,23,69,4423,20.572093023255814,-134,
216,32,69,4455,20.625,-135,
217,49,69,4504,20.755760368663594,-136,
218,37,69,4541,20.8302752293578,-137,
219,50,69,4591,20.963470319634702,-138,
220,41,69,4632,21.054545454545455,-139,
221,44,69,4676,21.15837104072398,-140,
222,52,69,4728,21.2972972972973,-141,
223,8,69,4736,21.23766816143498,-142,
224,12,69,4748,21.196428571428573,-143,
225,34,69,4782,21.253333333333334,-144,
226,26,69,4808,21.27433628318584,-145,
227,36,69,4844,21.33920704845815,-146,
228,26,69,4870,21.359649122807017,-147,
229,37,69,4907,21.427947598253276,-148,
230,12,69,4919,21.38695652173913,-149,
231,16,69,4935,21.363636363636363,-150,
232,46,69,4981,21.469827586206897,-151,
233,39,69,5020,21.545064377682404,-152,
234,17,69,5037,21.525641025641026,-153,
