Episode,Score,Record,Total Score,Mean Score
1,0,0,0,0.0
2,0,0,0,0.0
3,1,1,1,0.3333333333333333
4,0,1,1,0.25
5,0,1,1,0.2
6,0,1,1,0.16666666666666666
7,0,1,1,0.14285714285714285
8,0,1,1,0.125
9,0,1,1,0.1111111111111111
10,1,1,2,0.2
11,0,1,2,0.18181818181818182
12,0,1,2,0.16666666666666666
13,0,1,2,0.15384615384615385
14,0,1,2,0.14285714285714285
15,0,1,2,0.13333333333333333
16,0,1,2,0.125
17,1,1,3,0.17647058823529413
18,0,1,3,0.16666666666666666
19,1,1,4,0.21052631578947367
20,1,1,5,0.25
21,0,1,5,0.23809523809523808
22,0,1,5,0.22727272727272727
23,0,1,5,0.21739130434782608
24,1,1,6,0.25
25,0,1,6,0.24
26,0,1,6,0.23076923076923078
27,0,1,6,0.2222222222222222
28,1,1,7,0.25
29,0,1,7,0.2413793103448276
30,0,1,7,0.23333333333333334
31,0,1,7,0.22580645161290322
32,1,1,8,0.25
33,1,1,9,0.2727272727272727
34,0,1,9,0.2647058823529412
35,0,1,9,0.2571428571428571
36,1,1,10,0.2777777777777778
37,0,1,10,0.2702702702702703
38,2,2,12,0.3157894736842105
39,0,2,12,0.3076923076923077
40,0,2,12,0.3
41,0,2,12,0.2926829268292683
42,0,2,12,0.2857142857142857
43,0,2,12,0.27906976744186046
44,0,2,12,0.2727272727272727
45,0,2,12,0.26666666666666666
46,0,2,12,0.2608695652173913
47,0,2,12,0.2553191489361702
48,0,2,12,0.25
49,1,2,13,0.2653061224489796
50,0,2,13,0.26
51,0,2,13,0.2549019607843137
52,1,2,14,0.2692307692307692
53,0,2,14,0.2641509433962264
54,0,2,14,0.25925925925925924
55,1,2,15,0.2727272727272727
56,0,2,15,0.26785714285714285
57,0,2,15,0.2631578947368421
58,1,2,16,0.27586206896551724
59,1,2,17,0.288135593220339
60,0,2,17,0.2833333333333333
61,0,2,17,0.2786885245901639
62,2,2,19,0.3064516129032258
63,0,2,19,0.30158730158730157
64,1,2,20,0.3125
65,0,2,20,0.3076923076923077
66,0,2,20,0.30303030303030304
67,0,2,20,0.29850746268656714
68,1,2,21,0.3088235294117647
69,1,2,22,0.3188405797101449
70,1,2,23,0.32857142857142857
71,1,2,24,0.3380281690140845
72,1,2,25,0.3472222222222222
73,2,2,27,0.3698630136986301
74,0,2,27,0.36486486486486486
75,0,2,27,0.36
76,0,2,27,0.35526315789473684
77,4,4,31,0.4025974025974026
78,1,4,32,0.41025641025641024
79,0,4,32,0.4050632911392405
80,2,4,34,0.425
81,0,4,34,0.41975308641975306
82,0,4,34,0.4146341463414634
83,0,4,34,0.40963855421686746
84,0,4,34,0.40476190476190477
85,0,4,34,0.4
86,1,4,35,0.4069767441860465
87,1,4,36,0.41379310344827586
88,0,4,36,0.4090909090909091
89,0,4,36,0.4044943820224719
90,0,4,36,0.4
91,0,4,36,0.3956043956043956
92,0,4,36,0.391304347826087
93,0,4,36,0.3870967741935484
94,0,4,36,0.3829787234042553
95,0,4,36,0.37894736842105264
96,0,4,36,0.375
97,0,4,36,0.3711340206185567
98,0,4,36,0.3673469387755102
99,0,4,36,0.36363636363636365
100,1,4,37,0.37
101,1,4,38,0.37623762376237624
102,2,4,40,0.39215686274509803
103,1,4,41,0.39805825242718446
104,0,4,41,0.3942307692307692
105,0,4,41,0.3904761904761905
106,0,4,41,0.3867924528301887
107,0,4,41,0.38317757009345793
108,0,4,41,0.37962962962962965
109,0,4,41,0.3761467889908257
110,2,4,43,0.39090909090909093
111,0,4,43,0.38738738738738737
112,1,4,44,0.39285714285714285
113,1,4,45,0.39823008849557523
114,0,4,45,0.39473684210526316
115,2,4,47,0.40869565217391307
116,0,4,47,0.4051724137931034
117,0,4,47,0.4017094017094017
118,1,4,48,0.4067796610169492
119,0,4,48,0.40336134453781514
120,0,4,48,0.4
121,2,4,50,0.4132231404958678
122,0,4,50,0.4098360655737705
123,0,4,50,0.4065040650406504
124,0,4,50,0.4032258064516129
125,0,4,50,0.4
126,0,4,50,0.3968253968253968
127,0,4,50,0.3937007874015748
128,0,4,50,0.390625
129,0,4,50,0.3875968992248062
130,0,4,50,0.38461538461538464
131,0,4,50,0.3816793893129771
132,0,4,50,0.3787878787878788
133,0,4,50,0.37593984962406013
134,0,4,50,0.373134328358209
135,0,4,50,0.37037037037037035
136,0,4,50,0.36764705882352944
137,0,4,50,0.36496350364963503
138,0,4,50,0.36231884057971014
139,0,4,50,0.3597122302158273
140,0,4,50,0.35714285714285715
141,0,4,50,0.3546099290780142
142,0,4,50,0.352112676056338
143,0,4,50,0.34965034965034963
144,0,4,50,0.3472222222222222
145,0,4,50,0.3448275862068966
146,0,4,50,0.3424657534246575
147,1,4,51,0.3469387755102041
148,2,4,53,0.3581081081081081
149,1,4,54,0.3624161073825503
150,2,4,56,0.37333333333333335
151,0,4,56,0.3708609271523179
152,1,4,57,0.375
153,0,4,57,0.37254901960784315
154,2,4,59,0.38311688311688313
155,0,4,59,0.38064516129032255
156,0,4,59,0.3782051282051282
157,0,4,59,0.37579617834394907
